id,name,rarity,size,aggressiveness,elusiveness,strength,weight,speed,depthPreference,baitPreference,endurance,activeTimePeriod,weatherPreference,coinValue,experienceValue,description,habitat,struggleStyle,isBoss,stamina
leviathan,Leviathan,10,15,10,10,15,200.0,6,10,5,20,night,stormy,5000,1000,A mythical sea monster of immense proportions,abyssal_depths,boss_leviathan_chaos,true,2000
giant_bass,Giant Bass,7,8,8,7,8,12.5,7,6,8,9,morning|afternoon,sunny|cloudy,1500,250,A massive bass that rules its territory,deep_lake,boss_bass_fury,true,800
giant_pike,Giant Pike,7,9,9,8,9,18.2,8,7,6,8,morning|evening,sunny,1800,300,An enormous pike with razor-sharp teeth,northern_waters,boss_pike_ambush,true,900
electric_eel,Electric Eel,8,7,6,7,7,25.0,5,8,8,10,night|dawn,rainy,2000,350,A shocking predator with electrical attacks,murky_swamp,boss_eel_shock,true,1000
coelacanth,Coelacanth,9,6,5,9,6,68.0,4,9,10,12,dawn|dusk,any,3000,500,A living fossil from the depths of time,ancient_depths,boss_ancient_wisdom,true,1200
giant_marlin,Giant Marlin,8,10,9,8,9,180.0,9,6,7,10,morning|afternoon,sunny,2500,400,A colossal marlin with incredible speed and power,open_ocean,boss_marlin_acrobatics,true,1100
tiger_shark,Tiger Shark,8,9,10,7,10,350.0,8,7,5,12,dawn|dusk|night,any,3000,450,A massive predator with distinctive stripes,shark_territory,boss_shark_frenzy,true,1200
whale,Blue Whale,9,20,4,6,15,15000.0,6,8,8,25,morning|afternoon,any,4000,600,The largest creature ever known to exist,deep_ocean,boss_whale_depths,true,1500
megalodon,Megalodon,10,25,10,8,20,50000.0,7,9,4,30,any,any,10000,1500,A prehistoric shark of unimaginable size,prehistoric_depths,boss_mega_destroyer,true,2000
mosasaurus,Mosasaurus,10,22,9,9,18,8000.0,6,10,6,25,dawn|dusk,stormy,8000,1200,An ancient marine reptile with unpredictable patterns,saltwater,boss_mosa_ancient,true,1200 
